354269	West Japan Railway Company
622700	China Construction Bank China UnionPay Debit Card (CN)
622752	Bank of China China UnionPay Credit Card (CN)
622759	Bank of China China UnionPay Great Wall Credit Card (CN)
622789	Bank of China China UnionPay Platinum Credit Card (SG?
622821	Agricultural Bank of China Debit card
622848	Agricultural Bank of China Debit card
622858	Zhejiang Rural Credit Union (Cooperative Bank)????????(????)Debit Card (CN)
622889	Industrial and Commercial Bank of China (Asia) Dual Currency Credit Card (HK)
622909	Industrial bank(????) debit Card (CN)
622927	Industrial and Commercial Bank of China (Macao) e-Age Debit Card (Macao)
622933	Bank of East Asia UnionPay Debit Card (HK)
622942	Standard Chartered UnionPay Debit Card (HK)
622944	Industrial and Commercial Bank of China (Asia) Easylink Card (CNY Debit Card) (HK)
622949	Industrial and Commercial Bank of China (Asia) Debit Card (HK)
622974	AEON Prepaid UnionPay Card (HK)
625008	Chong Hing Bank UnionPay Dual Currency Gold Credit Card (HK)
625009	Chong Hing Bank UnionPay Dual Currency Diamond Credit Card (HK)
625017	Industrial and Commercial Bank of China (Macao) Dual Currency Primary Credit Card (HK)
625018	Industrial and Commercial Bank of China (Macao) Dual Currency Gold Credit Card (HK)
625019	Industrial and Commercial Bank of China (Macao) Dual Currency Platinum Credit Card (HK)
625026	Hang Seng Bank UnionPay Platinum Credit Card (HK)
625028	Bank of Communications Hong Kong Branch UnionPay Dual Currency Diamond Credit Card (HK)
625029	Bank of Communications Hong Kong Branch UnionPay Dual Currency Gold Credit Card (HK)
625040	Bank of China (Hong Kong) UnionPay Dual Currency Gold Credit Card
625041	Bank of China (Hong Kong) UnionPay Dual Currency Gold Credit Card
625042	Bank of China (Hong Kong) UnionPay Dual Currency Platinum Credit Card
625043	Bank of China (Hong Kong) UnionPay Dual Currency Platinum Credit Card
625063	Wing Lung Bank UnionPay Dual Currency Platinum Credit Card (HK)
625076	CitiBank China Rewards (RMB Card)
625077	CitiBank China Premiermiles (RMB Card)
625096	HSBC Hong Kong Dual Currency Classic Credit Card (HK)
625098	HSBC Hong Kong Dual Currency Diamond Credit Card (HK)
6253[0-9][0-9]	BC Card CUP Credit Card[1]
627180	CMR Falabella (Chile
627397	Wild Oats Gift Card
627421	Aeroplan (Air Canada)
627425	Disney Rewards Card (issued by Chase)
627479	MaxPoints card issued by Credimax (Bahrain)
627692	Dexit
627598	IKEA Family loyalty card (UK Sweden)
627711	 iCard (issued by ICICI Bank Canada)
627804	Myer one
627895	virtual money inc
628181	Sears Card (issued by Chase Cards Canada)
630490	Bank of Ireland Laser/Maestro debit card
630495	National Irish Bank Laser/Maestro debit card
630499	permanent tsb Laser/Maestro debit card
63191	British Home Stores
63303[0-9][0-9]	Boots
633174	Co-operative membership card
633198	Jempsons membership card
633204	Iceland (supermarket) Bonus Card (loyalty card)
6333[0-4][0-9]	Maestro Cards
6334[5-9][0-9]	Solo Cards
633513	Midlands Co-operative Society membership card
633540	Argos Card
633547	SSE plc energyplus Argos
633551	Somerfield Saver (loyalty card)
633577	Cineworld Cinemas Unlimited card (UK)
633597	ITSO
633625	National Savings & Investments (UK)
633641	Post Office Card Account card
633675	G-T-P Group Ltd Payment Card
633676	HMV/Waterstones Gift Card
633698	G-T-P Group Ltd Prepaid Card
633780	Costa Coffee Coffee Club loyalty card (UK)
633791	Commonwealth Finance Solutions Ltd
633817	BZX INVESTMENTS LTD
633834	Debenhams Store Card by Santander UK Plc
633845	Subway Subcard (UK)
634001	Tesco Personal Finance
634004	Tesco Clubcard
634005	Tesco Fuelcard
634008	Tesco Personal Finance
634009	Tesco Tesco Clubcard (Poland)
635608	Origin Compower
635629	Origin Compower
63563[0-9][0-9]	Ventura
6356500	Harrods
6360[0-9][0-9]	BC Card[1]
636325	Sahand Samaneh Mahpa Co Loyalty Card (IR)
636587	Worldstar Freedom Plus Card issued by Worldstar Freedom Plus Limited
636791	Infinite Payments
637192	Redeconv
637243	Kentkart Ege Elektronik A.S. (Public Transportation Card)
639002	Sberbank of Russia, Maestro debit card
639231	Comprocard (Comprocard)
639239	Barista Loyalty Card (Sweden)
639300	Malina loyalty card (RU)
639463	Target (United States) Debit Card
6541[0-9][0-9]	KR
6556[0-9][0-9]	KR
666006	Citibank ATM Card (Hong Kong) 
670011	BAWAG P.S.K. Maestro (AT)
670695	Allied Irish Banks Maestro/Laser card (IE)
6709[0-9][0-9]	Laser Debit Card (IE)
6718[0-9][0-9]	RBS Cashline ATM Cards, Cirrus Branded
672[0-9][0-9]	girocard Debit Cards (DE)
673[0-9][0-9]	Debit Cards (NL)
6759[0-9][0-9]	VARIOUS BANKS (UK)
675922	Clydesdale Bank Maestro debit card
675940	HSBC (UK) Maestro Debit card
675964	RBS Maestro Debit Card, with ?100 Cheque Guarantee
675967	NatWest Maestro Debit Card, with ?100 Cheque Guarantee
675968	NatWest Maestro Debit Card, with ?250 Cheque Guarantee
675979	Bank of Ireland Maestro Debit Card (IE)
675980	Islamic Bank of Britain plc Maestro Debit Card
6761[0-9][0-9]	Maestro debit card
676165	Maestro debit card
676246	Maestro debit card
676280	Maestro debit card
676378	BZ-WBK (PL)
676398	ING Bank Slaski (PL)
676481	HSBC Bank (Turkey)
676509	GENERALI BANK (IT)
676613	Citibank (PL)
6767[0-9][0-9]	VARIOUS BANKS (UK)
676953	Pekao (PL)
676969	Eurobank EFG (GR)
6771[0-9][0-9]	VARIOUS BANKS
677310	Garantibank (RO)
677518	SMP Bank (Russia)
677574	Intesa SanPaolo
677594	Alior Bank (PL)
690149	IAPA Frequent Flyers Card
